src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.122.251.51,10.3.9.4,52563,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,65692.66319274902,3775.1552144010743,30.444800116137696,15.222400058068848,15.222400058068848,1,1,86,162,86.0,86.0,86.0,0.0,162.0,162.0,162.0,0.0,162,86,124.0,38.0,1444.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,162.0,0,1,1,86,162
10.122.251.51,10.3.9.4,51226,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,13993.74008178711,13434.578525914063,142.92104814802195,71.46052407401098,71.46052407401098,1,1,86,102,86.0,86.0,86.0,0.0,102.0,102.0,102.0,0.0,102,86,94.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,102.0,0,1,1,86,102
10.122.251.51,10.3.9.4,51911,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,15000.343322753906,16532.954924025686,133.33028164536842,66.66514082268421,66.66514082268421,1,1,86,162,86.0,86.0,86.0,0.0,162.0,162.0,162.0,0.0,162,86,124.0,38.0,1444.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,162.0,0,1,1,86,162
10.122.251.51,10.3.9.5,58714,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2002.9544830322266,123817.0922509225,998.5249375074396,499.2624687537198,499.2624687537198,1,1,86,162,86.0,86.0,86.0,0.0,162.0,162.0,162.0,0.0,162,86,124.0,38.0,1444.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,162.0,0,1,1,86,162
10.122.251.51,10.3.9.4,55057,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,14992.237091064453,25213.048439935115,133.4023726980694,66.7011863490347,66.7011863490347,1,1,78,300,78.0,78.0,78.0,0.0,300.0,300.0,300.0,0.0,300,78,189.0,111.0,12321.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,189.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,300.0,0,1,1,78,300
10.122.251.51,10.3.9.4,50240,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,14999.151229858398,24601.392061801595,133.34087838374847,66.67043919187424,66.67043919187424,1,1,78,291,78.0,78.0,78.0,0.0,291.0,291.0,291.0,0.0,291,78,184.5,106.5,11342.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,184.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,291.0,0,1,1,78,291
10.122.251.51,10.3.9.4,55041,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,14999.866485595703,25200.22430619576,133.3345201386019,66.66726006930095,66.66726006930095,1,1,78,300,78.0,78.0,78.0,0.0,300.0,300.0,300.0,0.0,300,78,189.0,111.0,12321.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,189.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,300.0,0,1,1,78,300
10.122.251.51,10.3.9.4,57689,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,14999.866485595703,25200.22430619576,133.3345201386019,66.66726006930095,66.66726006930095,1,1,78,300,78.0,78.0,78.0,0.0,300.0,300.0,300.0,0.0,300,78,189.0,111.0,12321.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,189.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,300.0,0,1,1,78,300
10.122.251.51,10.3.9.4,55213,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,15000.104904174805,24599.827958356513,133.33240085830087,66.66620042915044,66.66620042915044,1,1,78,291,78.0,78.0,78.0,0.0,291.0,291.0,291.0,0.0,291,78,184.5,106.5,11342.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,184.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,291.0,0,1,1,78,291
10.122.251.51,10.3.9.4,64024,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,14999.866485595703,25200.22430619576,133.3345201386019,66.66726006930095,66.66726006930095,1,1,78,300,78.0,78.0,78.0,0.0,300.0,300.0,300.0,0.0,300,78,189.0,111.0,12321.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,189.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,300.0,0,1,1,78,300
