src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
10.133.27.160,52265,112.45.118.57,443,0.015427,0.000000,0.158713,0.041754,0.006694,0.000000,0.151022,0.028065,0.004775,0.000000,0.151022,0.023125,0.200654,70927,5066.214286,513,64240,16411.855298,179946,6205.034483,4081,65535,11212.310139,250873,5834.255814,513,65535,13144.007599,14,29,43,2.071281,69.771846,144.527395,214.299241,3020,215.714286,54,1288,334.897944,17433,601.137931,60,1354,550.568717,20453,475.651163,54,1354,523.037767,5.772515,15050.783937,86880.899459,101931.683396,0,2,0,18,42,0,0,0,5,0,13,0,756,1566,2322,0.250248,0.089824,0.113529
10.133.27.160,52266,202.115.39.6,53,0.003507,0.000037,0.008459,0.003562,0.004380,0.000000,0.008782,0.00438,0.001913,0.000000,0.008324,0.00308,0.021143,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,331.078844,236.484889,567.563733,419,59.857143,54,81,9.538322,609,121.8,60,367,122.602447,1028,85.666667,54,367,85.139428,1.453457,19817.433666,28803.859433,48621.293099,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.9,0.442623,0.63035
10.133.27.160,52267,202.115.39.6,53,0.004157,0.000036,0.008548,0.003706,0.004380,0.000000,0.008782,0.00438,0.002079,0.000000,0.008479,0.003244,0.020887,385262,64210.333333,64151,64240,41.955002,146000,29200.0,29200,29200,0.0,531262,48296.545455,29200,64240,17432.708731,6,5,11,0.833194,287.260018,239.383348,526.643366,365,60.833333,54,81,9.973576,385,77.0,60,143,33.00909,750,68.181818,54,143,24.785693,1.054792,17474.984440,18432.517834,35907.502274,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.885246,0.699482,0.792
10.133.27.160,52268,202.115.39.6,53,0.004071,0.000040,0.008659,0.003802,0.004380,0.000000,0.008782,0.00438,0.002035,0.000000,0.008544,0.003278,0.020453,385292,64215.333333,64166,64240,34.883935,146000,29200.0,29200,29200,0.0,531292,48299.272727,29200,64240,17435.189876,6,5,11,0.833194,293.355498,244.462915,537.818413,368,61.333333,54,84,10.994948,370,74.0,60,128,27.011109,738,67.090909,54,128,20.913043,1.005432,17992.470542,18090.255708,36082.726250,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.878049,0.727763,0.804878
10.133.27.160,52269,202.115.39.6,53,0.004048,0.000054,0.008784,0.003902,0.004380,0.000000,0.008782,0.00438,0.002024,0.000000,0.008445,0.003281,0.020339,385210,64201.666667,64125,64240,54.21152,146000,29200.0,29200,29200,0.0,531210,48291.818182,29200,64240,17428.411792,6,5,11,0.833194,294.999754,245.833128,540.832882,368,61.333333,54,84,10.994948,411,82.2,60,169,43.406912,779,70.818182,54,169,32.098763,1.116845,18093.318256,20207.483160,38300.801416,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.878049,0.65534,0.762516
10.133.27.160,52270,202.115.39.6,53,0.003731,0.000039,0.007669,0.003389,0.002756,0.000000,0.007721,0.002979,0.001866,0.000000,0.007487,0.002865,0.018757,387996,64666.0,64240,65518,602.454978,146000,29200.0,29200,29200,0.0,533996,48545.090909,29200,65518,17665.175508,6,5,11,0.833194,319.880578,266.567148,586.447726,384,64.0,54,100,16.653328,514,102.8,60,272,84.603546,898,81.636364,54,272,61.465841,1.338538,20472.356987,27403.102842,47875.459829,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.841558,0.524272,0.66147
10.133.27.160,52271,202.115.39.6,53,0.017486,0.000020,0.094237,0.034424,0.019513,0.000000,0.047444,0.022583,0.008743,0.000000,0.047307,0.017258,0.105017,453514,64787.714286,64240,65518,632.445981,175200,29200.0,29200,29200,0.0,628714,48362.615385,29200,65518,17747.20347,7,6,13,0.85702,66.655875,57.133607,123.789482,438,62.571429,54,100,15.810098,565,94.166667,60,263,75.508094,1003,77.153846,54,263,54.901095,1.289951,4170.753307,5380.081320,9550.834627,2,2,0,3,12,0,0,0,2,0,1,0,378,324,702,0.861048,0.572438,0.6999
10.133.27.160,52272,111.206.209.249,443,0.432830,0.000000,4.032392,1.052725,0.429400,0.000000,4.128628,1.088998,0.208952,0.000000,4.032392,0.762395,6.059718,71425,4761.666667,511,64240,15896.253314,25056,1670.4,960,8192,1753.323579,96481,3216.033333,511,64240,11413.653617,15,15,30,0.999933,2.475363,2.475363,4.950726,7048,469.866667,54,1288,513.649799,2273,151.533333,60,382,132.157919,9321,310.7,54,1288,407.412498,0.322503,1163.090428,375.099963,1538.190391,0,2,0,11,29,0,0,0,6,0,5,0,810,810,1620,0.11491,0.356201,0.173801
10.133.27.160,52273,36.147.62.236,443,0.005653,0.000012,0.033470,0.01005,0.002456,0.000000,0.028348,0.006142,0.002060,0.000000,0.033215,0.006216,0.134025,76085,3170.208333,515,64240,12733.931826,233188,5552.095238,4088,65535,9367.755994,309273,4685.954545,515,65535,10775.972387,24,42,66,1.749927,179.071069,313.374370,492.445439,2594,108.083333,54,615,134.347471,36656,872.761905,60,1354,589.646577,39250,594.69697,54,1354,602.599721,14.131066,19354.598023,273501.212460,292855.810483,0,2,0,17,65,0,0,0,5,0,12,0,1296,2268,3564,0.499422,0.061871,0.090803
10.133.27.160,52274,111.9.246.57,443,0.008329,0.000054,0.032444,0.009705,0.007638,0.000000,0.032213,0.009924,0.004432,0.000000,0.032081,0.007946,0.093170,68354,6835.4,0,64240,19135.48092,110536,9211.333333,4091,65535,16982.224468,178890,8131.363636,0,65535,18031.801336,10,12,22,1.19988,107.330686,128.796823,236.127509,1261,126.1,54,634,171.359534,5559,463.25,60,1354,534.087247,6820,310.0,54,1354,443.982494,4.408403,13534.399485,59665.128260,73199.527745,2,2,1,7,21,0,0,0,2,0,5,0,540,648,1188,0.427892,0.116547,0.174194
10.133.27.160,52275,111.9.246.57,443,0.013331,0.000019,0.034803,0.011863,0.009623,0.000000,0.060565,0.017802,0.005840,0.000000,0.034803,0.00977,0.105228,67330,8416.25,0,64240,21100.067647,106445,9676.818182,4091,65535,17663.90805,173775,9146.052632,0,65535,19195.959949,8,11,19,1.374828,76.025392,104.534915,180.560307,1048,131.0,54,634,190.197266,5724,520.363636,60,1354,540.560361,6772,356.421053,54,1354,470.488359,5.461827,9959.326415,54396.168320,64355.494735,3,2,1,5,18,0,0,0,1,0,4,0,432,594,1026,0.411821,0.103755,0.151506
10.133.27.160,52276,111.9.246.57,443,0.015530,0.000629,0.034806,0.011417,0.008749,0.000000,0.060565,0.017156,0.005835,0.000000,0.034806,0.009751,0.105122,66815,9545.0,0,64240,22329.847258,110536,9211.333333,4091,65535,16982.224468,177351,9334.263158,0,65535,19127.822304,7,12,19,1.714041,66.589296,114.153079,180.742375,1014,144.857143,54,666,212.820131,5784,482.0,60,1354,532.958254,6798,357.789474,54,1354,471.732594,5.704136,9645.935199,55021.784213,64667.719412,3,2,1,6,18,0,0,0,1,0,5,0,378,648,1026,0.372414,0.112014,0.150927
10.133.27.160,52277,111.9.246.57,443,0.005799,0.000011,0.067371,0.010053,0.000854,0.000000,0.055611,0.004049,0.000753,0.000000,0.055611,0.003665,0.603235,117776,1121.67619,512,64240,6189.260898,2908773,4173.275466,4085,65535,2325.910293,3026549,3773.75187,512,65535,3282.742963,105,697,802,6.638032,174.061518,1155.436936,1329.498454,8401,80.009524,54,575,76.301469,881485,1264.684362,60,1354,320.113459,889886,1109.583541,54,1354,499.506386,104.926187,13926.579194,1461263.023531,1475189.602725,0,2,0,33,801,0,0,0,13,0,20,0,5670,37638,43308,0.674839,0.042698,0.048667
10.133.27.160,52278,111.9.246.57,443,0.010325,0.000018,0.034872,0.011874,0.008749,0.000000,0.060565,0.017087,0.004992,0.000000,0.034872,0.009219,0.104932,68360,6836.0,0,64240,19135.2827,110536,9211.333333,4091,65535,16982.224468,178896,8131.636364,0,65535,18031.686122,10,12,22,1.19988,95.299813,114.359776,209.659589,1148,114.8,54,602,162.498492,5784,482.0,60,1354,532.958254,6932,315.090909,54,1354,447.623006,5.038323,10940.418557,55121.411962,66061.830519,3,2,1,6,21,0,0,0,1,0,5,0,540,648,1188,0.469974,0.112014,0.171379
10.133.27.160,52279,111.9.246.57,443,0.015493,0.000498,0.034947,0.011498,0.009623,0.000000,0.060565,0.017802,0.006161,0.000000,0.034947,0.00996,0.104839,66815,9545.0,0,64240,22329.847258,106445,9676.818182,4091,65535,17663.90805,173260,9625.555556,0,65535,19610.908252,7,11,18,1.571204,66.769046,104.922786,171.691832,982,140.285714,54,634,201.626043,5724,520.363636,60,1354,540.560361,6706,372.555556,54,1354,478.237298,5.828915,9366.743292,54598.002652,63964.745944,3,2,1,5,17,0,0,0,1,0,4,0,378,594,972,0.384537,0.103755,0.144945
10.133.27.160,52280,202.115.39.6,53,0.004728,0.000025,0.011577,0.004991,0.004356,0.000000,0.011681,0.004835,0.002579,0.000000,0.011418,0.004287,0.028465,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,245.916037,175.654312,421.570349,422,60.285714,54,84,10.497813,484,96.8,60,242,72.604132,906,75.5,54,242,50.840437,1.146917,14825.223959,17003.337432,31828.561391,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.893617,0.556701,0.715232
10.133.27.160,52281,202.115.39.6,53,0.005611,0.000052,0.011394,0.004928,0.004356,0.000000,0.011681,0.004835,0.002806,0.000000,0.011302,0.004355,0.028157,385376,64229.333333,64208,64240,15.084945,146000,29200.0,29200,29200,0.0,531376,48306.909091,29200,64240,17442.145414,6,5,11,0.833194,213.090883,177.575736,390.666619,368,61.333333,54,84,10.994948,328,65.6,60,86,10.229369,696,63.272727,54,86,10.863541,0.891302,13069.574173,11648.968285,24718.542458,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.878049,0.820669,0.853448
10.133.27.160,52282,120.226.166.243,443,0.033967,0.000033,0.249889,0.066013,0.024016,0.000000,0.267101,0.062309,0.014244,0.000000,0.234876,0.04225,0.441676,70923,5065.928571,511,64240,16411.934571,72757,4042.055556,501,64240,14600.146082,143680,4490.0,501,64240,15427.384964,14,18,32,1.285622,31.697443,40.753856,72.451299,2940,210.0,54,731,221.015837,5479,304.388889,60,1346,413.761088,8419,263.09375,54,1346,346.211673,1.863605,6656.463109,12405.020875,19061.483984,0,2,0,15,31,0,0,0,7,0,8,0,756,972,1728,0.257055,0.177372,0.20525
10.133.27.160,52283,120.226.166.243,443,0.020767,0.000516,0.041753,0.01616,0.010324,0.000000,0.041296,0.017882,0.009230,0.000000,0.041617,0.014841,0.083168,65785,13157.0,0,64240,25542.278794,66244,13248.8,501,64240,25495.6,132029,13202.9,0,64240,25518.991349,5,5,10,0.9998,60.119277,60.119277,120.238554,799,159.8,54,571,205.652522,3662,732.4,60,1346,576.485074,4461,446.1,54,1346,518.923588,4.583223,9607.060408,44031.358215,53638.418623,1,2,1,2,9,0,0,0,1,0,1,0,270,270,540,0.3375,0.07371,0.121049
10.133.27.160,52284,202.115.39.6,53,0.003526,0.000021,0.007561,0.002991,0.003236,0.000000,0.007174,0.003273,0.001763,0.000000,0.006926,0.002524,0.017728,385258,64209.666667,64149,64240,42.897811,146000,29200.0,29200,29200,0.0,531258,48296.181818,29200,64240,17432.37803,6,5,11,0.833194,338.447653,282.039711,620.487364,368,61.333333,54,84,10.994948,387,77.4,60,145,33.808875,755,68.636364,54,145,25.485371,1.051628,20758.122744,21829.873646,42587.996390,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.878049,0.695876,0.786755
10.133.27.160,52285,202.115.39.6,53,0.004654,0.000043,0.011854,0.004372,0.002920,0.000000,0.005912,0.00292,0.002327,0.000000,0.011473,0.003657,0.023372,385262,64210.333333,64151,64240,41.955002,146000,29200.0,29200,29200,0.0,531262,48296.545455,29200,64240,17432.708731,6,5,11,0.833194,256.717440,213.931200,470.648640,368,61.333333,54,84,10.994948,385,77.0,60,143,33.00909,753,68.454545,54,143,24.941253,1.046193,15745.336300,16472.702379,32218.038679,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.878049,0.699482,0.788845
10.133.27.160,52286,81.71.56.12,443,0.023644,0.000019,0.094966,0.036214,0.016444,0.000000,0.111688,0.032937,0.011866,0.000000,0.094853,0.026621,0.356088,70417,5416.692308,514,64240,16980.82627,72757,4042.055556,501,64240,14600.146082,143174,4618.516129,501,64240,15657.37011,13,18,31,1.384509,36.507830,50.549302,87.057132,2042,157.076923,54,650,189.311084,9691,538.388889,60,1346,539.876955,11733,378.483871,54,1346,468.691994,4.745835,5734.537530,27215.182764,32949.720294,0,2,0,12,30,0,0,0,5,0,7,0,702,972,1674,0.343612,0.100289,0.142675
10.133.27.160,52287,202.115.39.6,53,0.147440,0.000015,0.847706,0.313281,0.172542,0.000000,0.800661,0.314531,0.073720,0.000000,0.800661,0.219606,0.884737,453514,64787.714286,64240,65518,632.445981,175200,29200.0,29200,29200,0.0,628714,48362.615385,29200,65518,17747.20347,7,6,13,0.85702,7.911956,6.781676,14.693632,434,62.0,54,96,14.461772,668,111.333333,60,366,113.892737,1102,84.769231,54,366,81.879981,1.539167,490.541257,755.026635,1245.567892,2,2,0,3,12,0,0,0,2,0,1,0,378,324,702,0.868966,0.484305,0.637024
